$DEPARTAMENTO PREVENCIÓN - COMITÉ PARITARIO - PERMISOS,,,,,,,,
"Cuenta con Reglamento Interno de Orden, Higiene y Seg. actualizado (riesgos de Sílice, Ruido ocupacional, Rayos UV, Transtornos musculoesqueléticos, etc.) y registra entrega a los trabajadores.",,,,,,,,
Comité Paritario se reúne una vez al mes y mantiene actas de reuniones.,,,,,,,,
Cuenta con Depto. De Prevención de Riesgos de Obra cumple las funciones mínimas.,,,,,,,,
"Cuenta con Programa Anual de Prevención de Riesgos, cronograma de trabajo",,,,,,,,
Depto. cuenta con Sistema de Gestión y Salud en el trabajo.,,,,,,,,
Registra accidentes y enfermedades profesionales.,,,,,,,,
Sist. de gestión de salud y seguridad en el trabajo tiene incorporado los contenidos de la Guía técnica para la elaboración del Plan de gestión del riesgo por exposición a sílice. de la Seremi de Salud R.M.,,,,,,,,
Realiza inducción en prevención de riesgos a trabajadores.,,,,,,,,
"Asesora al Comité Paritario de faena, prestando asesoría en la investigación de accidentes.",,,,,,,,
Obra esta incorporada al Sist. Ev. de Impacto Ambiental,,,,,,,,
La Obra cuenta con Resolución de Calificación Ambiental,,,,,,,,
La Obra cuenta con Permisos Municipales,,,,,,,,
$PROCEDIMIENTO Y EPP,,,,,,,,
Existen procedimientos de trabajo por escrito para Trabajo,Altura (Andamios),Trabajo con Grúas Torre,Excavaciones,Trabajo c/ Hormigón,Socalzado,Riesgo Eléctrico,Tareas críticas con exposición a Sílice,Tareas críticas con exposición a Ruido ocupacional.
Se ha capacitado a los trabajadores en los procedimientos de trabajo seguro.,,,,,,,,
Los EPP cuentan con certificación de calidad (ISP),,,,,,,,
Existe registro de entrega de los EPP y su respectiva CAPACITACION,,,,,,,,
"Plan de emergencia (teléfonos emergencia, visible, enfocado a acciones en caso de accidente, evacuación de la obra, etc.)",,,,,,,,
El personal está instruido en manejo de extintores (Registro capacitaciones en uso y manejo de extintores de todo el personal).,,,,,,,,
"La Empresa cuenta con Resolucion Sanitaria para disposición final de los escombros, en lugar autorizado.",,,,,,,,
Existe programa de verificación de condiciones generales de seguridad previo al inicio de cada jornada,,,,,,,,
$FAENAS ESPECÍFICAS - CONTRATISTA,,,,,,,,
Trabajo en Andamios: Cuenta con procedimeinto para armado y desarmado de andamios.,,,,,,,,
Existen registros de capacitación en armado y desarme de andamios.,,,,,,,,
Pantalla de protección NCH2458 of 99: Cuenta con memoria de cálculo confeccionadas por profesional competente,,,,,,,,
Cuenta con procedimiento para instalación y mantención de las pantallas de protección.,,,,,,,,
De las Excavaciones (cualquier tamaño): Existe estudio de mecánica de suelos con estudio de calicatas,,,,,,,,
IDENTIFICACIÓN DE LAS EMPRESAS CONTRATISTAS: Cuenta con tempresa constratistas,,,,,,,,
Cuenta con Reglamento Especial para Empresas Contratistas y con difusion a los trabajadores,,,,,,,,
Trabajadores de subcontrato son incluidos en acciones de prevención de la empresa mandante,,,,,,,,
$SEGURIDAD INDUSTRIAL - MAQUINAS Y EQUIPOS,,,,,,,,
"De la Instalación Eléctrica NCH 350 Of. 2000 El proyecto de la instalación eléctrica provisora, se encuentra aprobada por la autoridad competente SEC.",,,,,,,,
La ejecución y manutención de la instalación eléctrica es supervisada por un técnico autorizado.,,,,,,,,
"Maquinas y equipos: Cuenta con Grúa Torre,",,,,,,,,
Operador de la grúa cuenta con capacitacion,Procedimientos de trabajo,Conocimientos de mantención,,,,,,
"Operador de la grúa cuenta con examen ocupacional , incluye",Condiciones psicosomáticas,Salud compatible,Test psicotécnico,,,,,
La grúa cuenta con Programa de Mantención,,,,,,,,
"Existe personal de resguardo para la operación de grúa, señalero, loro y/o Reagger cuanta con capacitaciones sobre código de señales, estrobo de carga y usa ropa identificatoria (chaleco reflectanteu otro)",,,,,,,,
Cuenta con Equipos de Movimiento de Tierra,,,,,,,,
Equipos en buen estado y revisión técnica al día,,,,,,,,
"Conductores de maquinaria rodante, poseen licencia de conducir clase “D”.",,,,,,,,
$HIGIENE INDUSTRIAL Y EMISIONES,,,,,,,,
Evaluaciones Ambientales: Existe exposición a alguno de los siguientes agentes: Ruido laboral y exposición a silice,,,,,,,,
Se han realizado evaluaciones de estos agentes,,,,,,,,
"Si existen evaluaciones sobre norma, se evalúa a trabajadores",,,,,,,,
EMISIONES ATMOSFÉRICAS: Cuenta con fuerza motriz por grupo electrógeno,,,,,,,,
Esta declarado como fuente fija (sólo si potencia es mayor a 20 KVA),,,,,,,,
Cuenta con muestreo y análisis de gases (sólo si potencia es mayor a 150 KVA),,,,,,,,
$MANUAL NORMAS MÍNIMAS PARA DESARROLLO DE PROG. VIGILANCIA SILICOSIS,,,,,,,,
"Se realizó aplicación del manual a los trabajadores, comités paritarios, sindicatos y empleadores",,,,,,,,
Se envió a la Seremi de Salud acta con registro de difusión del manual,,,,,,,,
Se efectúan mediciones ambientales cualitativas (Vigilancia Ambiental),,,,,,,,
Se efectúa vigilancia de la salud de los trabajadores expuestos a sílice,,,,,,,,
"Existe programa de protección respiratoria, considerando todos los agentes de riesgo químicos, según la guía técnica de selección y control de protección respiratoria ISP. y su difusión a los trabajadores, comités paritarios, sindicatos y empleadores.",,,,,,,,
Cuenta con aplicación de medidas de control (Ingenieril - Administrativa – EPP),,,,,,,,
$PROTOCOLO DE EXPOSICIÓN OCUPACIONAL A RUIDO,,,,,,,,
"Se realizó difusión del Protocolo de Exposición Ocupacional a Ruido (PREXOR) a los miembros del comité paritario, los dirigentes sindicales, trabajadores y empleadores.",,,,,,,,
Acta se envío a la Seremi de Salud R.M. y a la Inspección del Trabajo correspondiente.,,,,,,,,
